to,xo,yo
1900.014654,41438.71129,295983.2756
1900.989615,63709.58575,466245.1758
1901.980418,100780.7869,698666.9791
1903.010567,355402.4681,762375.3408
1903.992208,586341.913,361394.3297
1904.992734,417705.5883,201638.6907
1905.995779,195792.4943,185433.1225
1907.007951,130751.1117,215107.2205
1908.019005,89388.29327,222577.7683
1908.978192,95378.93082,253730.5525
1910.004599,79175.81082,278962.4715
1911.013484,83690.21035,406310.6465
1912.003938,128160.9628,570652.9057
1912.993203,197790.1895,760156.0874
1913.990057,456849.1534,519004.1601
1914.980091,510199.3673,194978.4825
1915.999189,298646.8692,112178.1768
1916.981494,165527.1667,78213.68554
1917.977054,101964.4703,149322.8226
1919.002761,100560.4528,164195.3698
1919.995873,88794.61546,253063.43
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
